title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable landIce.mon.snc_tavg-u-hxy-lnd (LImon.snc),1862,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1862,mon landIce CMIP6 UKESM1 HadGEM3-GC31 BCV,snc_tavg-u-hxy-lnd,surface_snow_area_fraction,"""comment"" was ""Percentage of each grid cell that is occupied by snow that rests on land portion of cell.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: time: mean,Fraction of each grid cell that is occupied by snow that rests on land portion of cell.,longitude latitude time,mon,Snow Area Percentage,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:land, landIce CMIP7:land, ocean,",%,CMIP6 CMOR variable,"snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])",,"snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])",,%
Variable landIce.day.snw_tavg-u-hxy-lnd (day.snw),1830,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1830,day landIce CMIP6 UKESM1 HadGEM3-GC31,snw_tavg-u-hxy-lnd,surface_snow_amount,"""comment"" was ""The mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as missing where the land fraction is 0; excludes snow on vegetation canopy or on sea ice.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,the mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as missing where the land fraction is 0; excludes snow on vegetation canopy or on sea ice.,longitude latitude time,day,Surface Snow Amount,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:land, landIce CMIP7:land, ocean,",kg m-2,CMIP6 CMOR variable,"land_class_mean(m01s08i236[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,"land_class_mean(m01s08i236[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,kg m-2
Variable landIce.day.snc_tavg-u-hxy-lnd (day.snc),1829,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1829,day landIce CMIP6 UKESM1 HadGEM3-GC31,snc_tavg-u-hxy-lnd,surface_snow_area_fraction,"""modeling_realm"" was ""landIce land"";",area: areacella,area: time: mean,Percentage of each grid cell that is occupied by snow that rests on land portion of cell.,longitude latitude time,day,Snow Area Percentage,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:land, landIce CMIP7:land, ocean,",%,CMIP6 CMOR variable,"snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])",,"snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])",,%
Variable landIce.mon.mrfso_tavg-u-hxy-lnd (Lmon.mrfso),1290,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1290,mon landIce CMIP6 UKESM1 HadGEM3-GC31 BCV,mrfso_tavg-u-hxy-lnd,soil_frozen_water_content,"""modeling_realm"" was ""land landIce""; ; ""comment"" was ""The mass per unit area (summed over all model layers) of frozen water."";",area: areacella,area: mean where land time: mean,the mass (summed over all all layers) of frozen water.,longitude latitude time,mon,Soil Frozen Water Content,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:land, landIce CMIP7:land, ocean,",kg m-2,CMIP6 CMOR variable,level_sum(m01s08i223[lbproc=128] * m01s08i230[lbproc=128] / (m01s08i230[lbproc=128] + m01s08i229[lbproc=128])),,level_sum(m01s08i223[lbproc=128] * m01s08i230[lbproc=128] / (m01s08i230[lbproc=128] + m01s08i229[lbproc=128])),,kg m-2
Variable landIce.mon.tsn_tavg-u-hxy-is (LImon.tsnIs),1267,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1267,mon landIce CMIP6,tsn_tavg-u-hxy-is,temperature_in_surface_snow,"""comment"" was ""This temperature is averaged over all the snow in the grid cell that rests on land or land ice.  When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.   Reported as missing in regions free of snow on land."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Snow Internal Temperature,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",K,CMIP6 CMOR variable,,,,,
Variable landIce.mon.tsn_tavg-u-hxy-lnd (LImon.tsn),1266,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1266,mon landIce CMIP6,tsn_tavg-u-hxy-lnd,temperature_in_surface_snow,"""cell_methods"" was ""area: mean where land time: mean (with samples weighted by snow mass)""; ; ""comment"" was ""This temperature is averaged over all the snow in the grid cell that rests on land or land ice.  When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.   Reported as missing in regions free of snow on land.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean (weighted by snow mass on land),"This temperature is averaged over all the snow in the grid cell that rests on land or land ice.  When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.   Reported as ""missing in regions free of snow on land.",longitude latitude time,mon,Snow Internal Temperature,landIce,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land time: mean (with samples weighted by snow mass) CMIP7:area: mean where land time: mean (weighted by snow mass on land),; CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:land, landIce CMIP7:land, ocean,",K,CMIP6 CMOR variable,,,,,
Variable landIce.mon.ts_tavg-u-hxy-is (LImon.tsIs),1265,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1265,mon landIce CMIP6 UKESM1 HadGEM3-GC31,ts_tavg-u-hxy-is,surface_temperature,"""comment"" was ""Temperature of the lower boundary of the atmosphere"";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Temperature,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",K,CMIP6 CMOR variable,"land_class_mean(m01s03i316[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,"land_class_mean(m01s03i316[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,K
Variable landIce.mon.tpf_tavg-u-hxy-lnd (LImon.tpf),1264,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1264,mon landIce CMIP6,tpf_tavg-u-hxy-lnd,permafrost_layer_thickness,"""comment"" was ""The mean thickness of the permafrost layer in the land portion of the grid cell.  Reported as zero in permafrost-free regions.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,where land over land: This is the mean thickness of the permafrost layer in the land portion of the grid cell.  Reported as missing in permafrost-free regions.,longitude latitude time,mon,Permafrost Layer Thickness,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:land, landIce CMIP7:land, ocean,",m,CMIP6 CMOR variable,,,,,
Variable landIce.mon.tas_tavg-u-hxy-is (LImon.tasIs),1263,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1263,mon landIce CMIP6 UKESM1 HadGEM3-GC31,tas_tavg-u-hxy-is,air_temperature,"""comment"" was ""near-surface (usually, 2 meter) air temperature"";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Near-Surface Air Temperature,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:landIce CMIP7:ocean,",K,CMIP6 CMOR variable,"land_class_mean(m01s03i328[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,"land_class_mean(m01s03i328[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,K
Variable landIce.mon.sootsn_tavg-u-hxy-lnd (LImon.sootsn),1262,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1262,mon landIce CMIP6,sootsn_tavg-u-hxy-lnd,soot_content_of_surface_snow,"""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,"the entire land portion of the grid cell is considered, with snow soot content set to 0.0 in regions free of snow.",longitude latitude time,mon,Snow Soot Content,landIce,,"CHANGE SINCE CMIP6 in Modeling Realm - CMIP6:land, landIce CMIP7:land, ocean,",kg m-2,CMIP6 CMOR variable,,,,,
